Year,Type,Fund_Name,Assets,Liabilities
2005,fire,ADDISON FIREFIGHTERS PENSION FUND,27674395.01,37221463.09
2005,fire,ALGONQUIN LAKE IN THE HILLS FPD PENSION FUND,4758061.32,5880865.28
2005,fire,ALSIP FIREFIGHTERS PENSION FUND,12643083.46,20125387.22
2005,fire,ALTON FIREFIGHTERS PENSION FUND,18479538.07,42557863.01
2005,fire,ANNA FIREFIGHTERS PENSION FUND,1048014.36,1435817.09
2005,fire,ARLINGTON HEIGHTS FIREFIGHTERS PENSION FUND,45040547.83,69920662.43
2005,fire,ATWOOD FPD FIREFIGHTERS PENSION FUND,44036.4,151380
2005,fire,AURORA FIREFIGHTERS PENSION FUND,76935684.42,137250943.2
2005,fire,BARRINGTON FIREFIGHTERS PENSION FUND,4631581.44,4863632.5
2005,fire,BARTLETT FPD FIREFIGHTERS PENSION FUND,3520680.85,4953407.3
2005,fire,BATAVIA FIREFIGHTERS PENSION FUND,5999191.35,8294025.44
2005,fire,BEACH PARK FPD FIREFIGHTERS PENSION FUND,32701.8,22705.44
2005,fire,BEARDSTOWN FIREFIGHTERS PENSION FUND,532360.7,690015.72
2005,fire,BELLEVILLE FIREFIGHTERS PENSION FUND,15920854.83,36914799.12
2005,fire,BELLWOOD FIREFIGHTERS PENSION FUND,16251447,16039342.3
2005,fire,BELVIDERE FIREFIGHTERS PENSION FUND,9444266.11,13697531.22
2005,fire,BEMENT FPD FIREFIGHTERS PENSION FUND,186530.44,534969.27
2005,fire,BENSENVILLE FIREFIGHTERS PENSION FUND,8383263.57,12658079.96
2005,fire,BENTON FIREFIGHTERS PENSION FUND,2405216.22,2947591.27
2005,fire,BERWYN FIREFIGHTERS PENSION FUND,16425366.54,49165978.68
2005,fire,BLOOMINGDALE FPD FIREFIGHTERS PENSION FUND,14763067.58,18173632.73
2005,fire,BLOOMINGTON FIREFIGHTERS PENSION FUND,31593503.57,53142614.91
2005,fire,BLUE ISLAND FIREFIGHTERS PENSION FUND,5860939.63,11128729.13
2005,fire,BOLINGBROOK FIREFIGHTERS PENSION FUND,27033539.24,40767169.51
2005,fire,BOURBONNAIS FPD FIREFIGHTERS PENSION FUND,152672.76,251458.91
2005,fire,BRADLEY FIREFIGHTERS PENSION FUND,34999.38,106661.87
2005,fire,BRIDGEVIEW FIREFIGHTERS PENSION FUND,12116452.48,23608596.26
2005,fire,BROADVIEW FIREFIGHTERS PENSION FUND,15418392.5,27021989.43
2005,fire,BROOKFIELD FIREFIGHTERS PENSION FUND,7105056.09,10944581.92
2005,fire,BUFFALO GROVE FIREFIGHTERS PENSION FUND,18519218.29,25906549.73
2005,fire,BURBANK FIREFIGHTERS PENSION FUND,13272223.4,15595020.08
2005,fire,BYRON FPD FIREFIGHTERS PENSION FUND,7048455.48,6048123.55
2005,fire,CAIRO FIREFIGHTERS PENSION FUND,1240696.8,2993222.71
2005,fire,CALUMET CITY FIREFIGHTERS PENSION FUND,23454057.8,36178407.56
2005,fire,CANTON FIREFIGHTERS PENSION FUND,5868589.79,9102064.48
2005,fire,CARBONDALE FIREFIGHTERS PENSION FUND,10484231.36,16876343.52
2005,fire,CARBONDALE TOWNSHIP FIREFIGHTERS PENSION FUND,574695,241522.13
2005,fire,CAROL STREAM FPD FIREFIGHTERS PENSION FUND,14007047,18034733.85
2005,fire,CARPENTERSVILLE FIREFIGHTERS PENSION FUND,6680691.5,9148209.35
2005,fire,CARY FPD FIREFIGHTERS PENSION FUND,891271.74,1354736
2005,fire,CENTRAL STICKNEY FPD FIREFIGHTERS PENSION FUND,61753,117100
2005,fire,CENTRALIA FIREFIGHTERS PENSION FUND,8228424.64,11406607.31
2005,fire,CENTRALIA FPD FIREFIGHTERS PENSION FUND,470030.47,341149.19
2005,fire,CHAMPAIGN FIREFIGHTERS PENSION FUND,41664865.98,57458515.57
2005,fire,CHANNAHON FIRE PROTECTION DISTRICT FIREFIGHTERS PE,105614.09,145332.85
2005,fire,CHARLESTON FIREFIGHTERS PENSION FUND,12016794.96,17601265.63
2005,fire,CHATHAM FPD FIREFIGHTER'S PENSION FUND,186627.78,229355.44
2005,fire,CHICAGO HEIGHTS FIREFIGHTERS PENSION FUND,31432542,44467484.06
2005,fire,CHICAGO RIDGE FIREFIGHTERS PENSION FUND,3986271.29,7328984.67
2005,fire,CICERO FIREFIGHTERS PENSION FUND,18913848.46,60455959.37
2005,fire,CLARENDON HILLS FIREFIGHTERS PENSION FUND,545638,605012.23
2005,fire,CLINTON FIREFIGHTERS PENSION FUND,864783.57,1202584.22
2005,fire,COLLINSVILLE FIREFIGHTERS PENSION FUND,14667104.17,15498437.06
2005,fire,COUNTRY CLUB HILLS  FIREFIGHTERS PENSION FUND,3677029.21,4176030.44
2005,fire,COUNTRYSIDE FPD FIREFIGHTERS  PENSION FUND,14672286.37,16055319.83
2005,fire,CRYSTAL LAKE FIREFIGHTERS PENSION FUND,8184532.88,12700228.62
2005,fire,DANVILLE FIREFIGHTERS PENSION FUND,11448833.86,37402084.02
2005,fire,DARIEN WOODRIDGE FPD FIREFIGHTERS PENSION FUND,9033285.19,11854340.39
2005,fire,DECATUR FIREFIGHTERS PENSION FUND,47030573.01,72223482.76
2005,fire,DEERFIELD-BANNOCKBURN FIRE PROTECTION DISTRICT,17851317.62,21233153.19
2005,fire,DEKALB FIREFIGHTERS PENSION FUND,14652036,30935706.68
2005,fire,DES PLAINES FIREFIGHTERS PENSION FUND,50780116.94,77786007.86
2005,fire,DIXON COMMUNITY FPD FIREFIGHTER PENSION FUND,3202426.43,4144502.57
2005,fire,DIXON FIREFIGHTERS PENSION FUND,7273122.28,10059874.58
2005,fire,DOLTON FIREFIGHTERS PENSION FUND,8967324.02,10163476.26
2005,fire,DOWNERS GROVE FIREFIGHTERS PENSION FUND,19773347.24,37216299.12
2005,fire,DUQUOIN FIREFIGHTERS PENSION FUND,1590758.9,3535056.26
2005,fire,EAST ALTON FIREFIGHTERS PENSION FUND,1947156.7,3292091.5
2005,fire,EAST DUNDEE/COUNTRYSIDE FPD FIREFIGHTERS PENSION F,527447.53,1226413.81
2005,fire,EAST JOLIET FPD FIREFIGHTERS PENSION FUND,453797,191040.07
2005,fire,EAST MOLINE FIREFIGHTERS PENSION FUND,16969710.23,19054023.74
2005,fire,EAST PEORIA FIREFIGHTERS PENSION FUND,10333939.45,17566016.8
2005,fire,EAST ST LOUIS FIREFIGHTERS PENSION FUND,11401874.73,38997106.15
2005,fire,EDWARDSVILLE FIREFIGHTERS PENSION FUND,8698369.84,9991231.48
2005,fire,EFFINGHAM FIREFIGHTERS PENSION FUND,6461328.57,7881757.83
2005,fire,ELBURN/COUNTRYSIDE FPD FIREFIGHTERS PENSION FUND,824913.5,1086560.74
2005,fire,ELGIN FIREFIGHTERS PENSION FUND,43062692.44,76700304.52
2005,fire,ELK GROVE VILLAGE FIREFIGHTERS PENSION FUND,49295672,61017122.15
2005,fire,ELMHURST FIREFIGHTERS PENSION FUND,21368851.48,31403753.96
2005,fire,ELMWOOD PARK FIREFIGHTERS PENSION FUND,5963930.52,19132378.84
2005,fire,ELWOOD FIRE PROTECTION DISTRICT,206361.87,173489.43
2005,fire,EVANSTON FIREFIGHTERS PENSION FUND,38088390.87,87614923.53
2005,fire,EVERGREEN PARK FIREFIGHTERS PENSION FUND,1323753.45,1999494.67
2005,fire,FAIRFIELD FIREFIGHTERS PENSION FUND,1377607.92,1929950.32
2005,fire,FAIRVIEW/CASEYVILLE FPD FIREFIGHTERS  PENSION FUND,1213329.71,1314553.79
2005,fire,FLOSSMOOR FIREFIGHTERS PENSION FUND,1570692.39,1909506.96
2005,fire,FOREST PARK FIREFIGHTERS PENSION FUND,12596622.32,18902425.98
2005,fire,FOREST VIEW FIREFIGHTERS PENSION FUND,2267678.81,3497492.13
2005,fire,FOSTERBURG FPD FIREFIGHTERS PENSION FUND,443970.3,755339.45
2005,fire,FOX LAKE FIREFIGHTERS PENSION FUND,176426.82,49062
2005,fire,FOX RIVER GROVE FPD FIREFIGHTERS PENSION FUND,62001.14,0
2005,fire,FRANKFORT FPD FIREFIGHTERS PENSION FUND,1093364.75,681683.29
2005,fire,FRANKLIN PARK FIREFIGHTERS PENSION FUND,16563031.44,31816944.61
2005,fire,FREEPORT FIREFIGHTERS PENSION FUND,22217154.63,26671984.21
2005,fire,GALESBURG FIRE FIGHTERS PENSION FUND,20743869.26,31096265.92
2005,fire,GENEVA FIREFIGHTERS PENSION FUND,5364077.42,6807013.68
2005,fire,GLENCOE FIREFIGHTERS PENSION FUND,607898.05,819638
2005,fire,GLENSIDE FPD FIREFIGHTERS PENSION FUND,4292409.72,8208719.19
2005,fire,GLENVIEW FIREFIGHTERS PENSION FUND,45973907.81,62762882.69
2005,fire,GLENWOOD FIREFIGHTERS PENSION FUND,1345841,1819870.56
2005,fire,GODFREY PAID FIREFIGHTERS PENSION FUND,3204939.26,4273742.01
2005,fire,GRANITE CITY FIREFIGHTERS PENSION FUND C/O GAIL VA,17220221.83,35220803.94
2005,fire,GRAYSLAKE FPD FIREFIGHTERS PENSION FUND,3863853.59,5783944.98
2005,fire,GREATER ROUND LAKE FPD FIREFIGHTERS PENSION FUND,4709075.22,7118682.77
2005,fire,GURNEE FIREFIGHTERS PENSION FUND,10383226.39,13571622.38
2005,fire,HAMPSHIRE FPD FIREFIGHTERS PENSION FUND,307647,315204.6
2005,fire,HANOVER PARK FIREFIGHTERS PENSION FUND,6533726.72,10226553.92
2005,fire,HARRISBURG FIREFIGHTERS PENSION FUND,1746958.77,2381307.46
2005,fire,HARVARD FPD PENSION FUND,23827,12752.21
2005,fire,HARVEY FIREFIGHTERS PENSION FUND,16409448.3,28146217.79
2005,fire,HAZEL CREST FIREFIGHTERS PENSION FUND,3445199.14,3439337.45
2005,fire,HERRIN FIREFIGHTERS PENSION FUND,3529957.93,6269444.85
2005,fire,HIGHLAND PARK FIREFIGHTERS PENSION FUND,23872608.48,40886802.91
2005,fire,HIGHWOOD FIREFIGHTERS PENSION FUND,1251867.89,1372119.51
2005,fire,HILLSIDE FIREFIGHTERS PENSION FUND,6249117.72,11182270.97
2005,fire,HINSDALE FIREFIGHTERS PENSION FUND,9664533.82,14580776.97
2005,fire,HOFFMAN ESTATES FIREFIGHTERS PENSION FUND,43030766,55833123.14
2005,fire,HOMER TOWNSHIP FPD FIREFIGHTERS PENSION FUND,492825,407092.35
2005,fire,HOMEWOOD FIREFIGHTERS PENSION FUND,6617821,8079484.03
2005,fire,HUNTLEY FPD FIREFIGHTERS PENSION FUND,3061774.04,3431145.08
2005,fire,ITASCA FPD #1 FIREFIGHTERS PENSION FUND,3422369,6028891.78
2005,fire,IVESDALE FPD FIREFIGHTERS PENSION FUND,20607.04,36402.31
2005,fire,JACKSONVILLE FIREFIGHTERS PENSION FUND,12250640.11,15986334.48
2005,fire,JEFFERSON FPD FIREFIGHTERS PENSION FUND,972365.68,1370525.67
2005,fire,JOLIET FIREFIGHTERS PENSION FUND,55515330,118110759.5
2005,fire,JUSTICE FIREFIGHTERS PENSION FUND,361680.42,438923
2005,fire,KANKAKEE FIREFIGHTERS PENSION FUND,10147331.35,32469603.35
2005,fire,KEWANEE COMMUNITY FPD FIREFIGHTERS PENSION FUND,438976.48,597433.85
2005,fire,KEWANEE FIREFIGHTERS PENSION FUND,6655823,9146670.82
2005,fire,LAGRANGE FIREFIGHTERS PENSION FUND,8087943.73,14350141.14
2005,fire,LAKE EGYPT FPD FIREFIGHTERS PENSION FUND,359426.24,150541.59
2005,fire,LAKE FOREST FIREFIGHTERS PENSION FUND,18099033.15,22916855.14
2005,fire,LAKE ZURICH FIREFIGHTERS PENSION FUND,5799962.97,14107173.4
2005,fire,LANSING FIREFIGHTERS PENSION FUND,7619586.56,12184483.18
2005,fire,LASALLE FIREFIGHTERS PENSION FUND,1176014.74,1399136.86
2005,fire,LEMONT FPD FIREFIGHTERS PENSION FUND,6228778.98,9456636.07
2005,fire,LEYDEN FPD FIREFIGHTERS PENSION FUND,6642783.67,9391881.21
2005,fire,LIBERTYVILLE FIREFIGHTERS PENSION FUND,12448434.48,16941226.63
