Year,Type,Fund_Name,Assets,Liabilities,County
2016,fire,Addison Firefighters Pension Fund,44849055.84,72607444.59,DuPage
2016,fire,Algonquin Lake In The Hills FPD Pension Fund,20294079.31,26073926.9,Kane
2016,fire,Alsip Firefighters Pension Fund,24306496.95,42687919.85,Cook
2016,fire,Alton Firefighters Pension Fund,19760989.42,65104077.03,Madison
2016,fire,Anna Firefighters Pension Fund,1911757.73,4219638.2,Union
2016,fire,Arlington Heights Firefighters Pension Fund,98949377.83,137318790.1,Cook
2016,fire,Atwood FPD Firefighters Pension Fund,-5205.79,84846.08,Douglas
2016,fire,Aurora Firefighters Pension Fund,154735270.1,283621005.1,DuPage
2016,fire,Barrington Firefighters Pension Fund,16410349.44,18300445.11,Cook
2016,fire,Bartlett FPD Firefighters Pension Fund,16840801.75,24531825.52,Cook
2016,fire,Batavia Firefighters Pension Fund,15940594.43,22458101.09,DuPage
2016,fire,Beach Park FPD Firefighters Pension Fund,1271267.09,1834763.06,Lake
2016,fire,Beardstown Firefighters Pension Fund,1032975.51,1773876.71,Cass
2016,fire,Belleville Firefighters Pension Fund,26585855.86,61922884.31,St. Clair
2016,fire,Bellwood Firefighters Pension Fund,22893034.65,36422520.5,Cook
2016,fire,Belvidere Firefighters Pension Fund,14406889.02,24455983.72,Boone
2016,fire,Bement FPD Firefighters Pension Fund,305680.35,768033.3,Piatt
2016,fire,Bensenville Firefighters Pension Fund,10871031.1,28246284.26,DuPage
2016,fire,Benton Firefighters Pension Fund,3772970.41,4413428.64,Franklin
2016,fire,Berwyn Firefighters Pension Fund,52914949.4,90074914.15,Cook
2016,fire,Bloomingdale FPD Firefighters Pension Fund,28396677,43630313,DuPage
2016,fire,Bloomington Firefighters Pension Fund,52877100.88,105611122.9,McLean
2016,fire,Blue Island Firefighters Pension Fund,5203657.29,23066437.31,Cook
2016,fire,Bolingbrook Firefighters Pension Fund,49922572.06,90851773.22,DuPage
2016,fire,Bourbonnais FPD Firefighters Pension Fund,2003655.48,2867433.73,Kankakee
2016,fire,Bradley Firefighters Pension Fund,788456.57,1558605.83,Kankakee
2016,fire,Bridgeview Firefighters Pension Fund,23664542.47,45956798.31,Cook
2016,fire,Bristol-Kendall  Firefighter'S Pension Fund,403170.89,398370.27,Kendall
2016,fire,Broadview Firefighters Pension Fund,19808382.46,38280502.69,Cook
2016,fire,Brookfield Firefighters Pension Fund,15569744.68,22923320.44,Cook
2016,fire,Buffalo Grove Firefighters Pension Fund,55506736.64,71114917.67,Cook
2016,fire,Burbank Firefighters Pension Fund,25506320.52,34326443.94,Cook
2016,fire,Burlington Community FPD Firefighters' Pension Fun,339920.57,601068.85,Kane
2016,fire,Byron FPD Firefighters Pension Fund,11032236.63,13188782.45,Ogle
2016,fire,Cairo Firefighters Pension Fund,377420.94,3576932.69,Alexander
2016,fire,Calumet City Firefighters Pension Fund,33430536.51,65984846.8,Cook
2016,fire,Canton Firefighters Pension Fund,7360489.7,17306071.15,Fulton
2016,fire,Carbondale Firefighters Pension Fund,13614178.3,28691268.6,Jackson
2016,fire,Carbondale Township Firefighters Pension Fund,1237561.69,923584.59,Jackson
2016,fire,Carol Stream FPD Firefighters Pension Fund,36812499.43,50393544.74,DuPage
2016,fire,Carpentersville Firefighters Pension Fund,21099199.66,29319086.32,Kane
2016,fire,Carterville Firefighter'S Pension Fund,451403.35,1025135.13,Williamson
2016,fire,Cary FPD Firefighters Pension Fund,3953032.81,4673127.89,McHenry
2016,fire,Central Stickney FPD Firefighters Pension Fund,0,0,Cook
2016,fire,Centralia Firefighters Pension Fund,12063621.06,18379678.32,Clinton
2016,fire,Centralia FPD Firefighters Pension Fund,478196.38,810483.32,Clinton
2016,fire,Champaign Firefighters Pension Fund,79097568.9,100501996.2,Champaign
2016,fire,Channahon Fire Protection District Firefighters Pe,5194315.32,3316965.34,Will
2016,fire,Charleston Firefighters Pension Fund,13921052.97,30611276.58,Coles
2016,fire,Chatham FPD Firefighter'S Pension Fund,2780417.69,4190620.12,Sangamon
2016,fire,Cherry Valley FPD Firefighter'S Pension Fund,3309939.34,4017043.37,Winnebago
2016,fire,Chicago Heights Firefighters Pension Fund,34735374.17,77766087.3,Cook
2016,fire,Chicago Ridge Firefighters Pension Fund,11627767.64,19414118.43,Cook
2016,fire,Cicero Firefighters Pension Fund,30561200.14,98532018.58,Cook
2016,fire,Clarendon Hills Firefighters Pension Fund,1342858.28,1630963.03,DuPage
2016,fire,Clinton Firefighters Pension Fund,1729588.93,2798741.76,DeWitt
2016,fire,Coal City Firefighter'S Pension Fund,1233597.56,1409956.76,Grundy
2016,fire,Collinsville Firefighters Pension Fund,22330430.7,29545481.1,Madison
2016,fire,Country Club Hills  Firefighters Pension Fund,7471541.01,13682329.44,Cook
2016,fire,Countryside FPD Firefighters  Pension Fund,26051909.73,37545732.54,Cook
2016,fire,Crestwood Firefighters' Pension Fund,0,0,Cook
2016,fire,Crystal Lake Firefighters Pension Fund,30370314.13,43362831.58,McHenry
2016,fire,Danville Firefighters Pension Fund,10217746,61708672.43,Vermilion
2016,fire,Darien Woodridge FPD Firefighters Pension Fund,19468589.4,29590675.69,DuPage
2016,fire,Decatur Firefighters Pension Fund,74471421.83,132539392.7,Macon
2016,fire,Deerfield-Bannockburn Fire Protection District,36132600.23,46014165.19,Lake
2016,fire,Dekalb Firefighters Pension Fund,27525160.2,70206337.36,DeKalb
2016,fire,Des Plaines Firefighters Pension Fund,73709694.36,138308476.8,Cook
2016,fire,Dixon Community FPD Firefighter Pension Fund,4742289.12,8831781.61,Lee
2016,fire,Dixon Firefighters Pension Fund,8519792.82,16955635.87,Lee
2016,fire,Dolton Firefighters Pension Fund,12689826.38,18452493,Cook
2016,fire,Downers Grove Firefighters Pension Fund,50199287.99,89520839.41,DuPage
2016,fire,Duquoin Firefighters Pension Fund,2901626.71,6492346.53,Perry
2016,fire,East Alton Firefighters Pension Fund,1973002.44,7498913.9,Madison
2016,fire,East Dundee/Countryside FPD Firefighters Pension F,2510190.83,4810244.12,Cook
2016,fire,East Joliet FPD Firefighters Pension Fund,2721999.96,1658391.99,Kendall
2016,fire,East Moline Firefighters Pension Fund,23613494.61,33784158.64,Rock Island
2016,fire,East Peoria Firefighters Pension Fund,21356840.13,37143141.59,Tazewell
2016,fire,East St Louis Firefighters Pension Fund,8035346.73,59839694.24,St. Clair
2016,fire,Edwardsville Firefighters Pension Fund,13539317.37,20967918.57,Madison
2016,fire,Effingham Firefighters Pension Fund,9428962.81,14685364.82,Effingham
2016,fire,Elburn/Countryside FPD Firefighters Pension Fund,7099507.4,8931721.56,Kane
2016,fire,Elgin Firefighters Pension Fund,75865786.05,154848345.1,Cook
2016,fire,Elk Grove Village Firefighters Pension Fund,65050321.33,118300218.7,Cook
2016,fire,Elmhurst Firefighters Pension Fund,39611021.37,58445486.39,Cook
2016,fire,Elmwood Park Firefighters Pension Fund,13744071.77,32729585.12,Cook
2016,fire,Elwood Fire Protection District,1306602.72,1656858.47,Will
2016,fire,Evanston Firefighters Pension Fund,74208165.55,153492255.9,Cook
2016,fire,Evergreen Park Firefighters Pension Fund,583437.12,3426804.49,Cook
2016,fire,Fairfield Firefighters Pension Fund,1858518.73,3779501.91,Wayne
2016,fire,Fairview/Caseyville FPD Firefighters  Pension Fund,2826873.93,3202959.67,St. Clair
2016,fire,Flossmoor Firefighters Pension Fund,2298139.56,5832938.68,Cook
2016,fire,Forest Park Firefighters Pension Fund,14893423.8,33348009.2,Cook
