Year,Type,Fund_Name,Assets,Liabilities,Active_Male,Active_Female,Retired_Members,Active_Members,Position,Funding
2016,Police,Addison Police Pension Fund,42070048.14,72984418.63,61,6,40,67,-30914370.49,0.576425064
2016,Police,Algonquin Police Pension Fund,23643026.7,36010869.73,38,6,12,44,-12367843.03,0.656552504
2016,Police,Alsip Police Pension Fund,19148170.87,51667737.29,38,3,30,41,-32519566.42,0.370602079
2016,Police,Alton Police Pension Fund,22671001.77,70005818.34,54,3,60,57,-47334816.57,0.323844536
2016,Police,Anna Police Pension Fund,2370634.14,5225041.25,7,0,4,7,-2854407.11,0.453706301
2016,Police,Antioch Police Pension Fund,8540420.9,25708855.41,24,3,13,27,-17168434.51,0.332197632
2016,Police,Arlington Heights Police Fund,116758877.5,147102945.4,98,12,72,110,-30344067.98,0.793722227
2016,Police,Aurora Police Pension Fund,195962037.5,355153418.5,254,37,161,291,-159191381,0.551767285
2016,Police,Barrington Hills Police Pension Fund,9721799.08,15411708.39,16,0,5,16,-5689909.31,0.630806062
2016,Police,Barrington Police Pension Fund,19767323.21,35695497.91,18,3,24,21,-15928174.7,0.553776369
2016,Police,Bartlett Police Pension Fund,36599607.53,45452193.07,48,9,14,57,-8852585.54,0.805233039
2016,Police,Bartonville Police Pension Fund,3328713.27,3796358.46,11,0,1,11,-467645.19,0.876817431
2016,Police,Batavia Police Pension Fund,29496366.41,50365695.69,37,3,18,40,-20869329.28,0.585643979
2016,Police,Beardstown Police Pension Fund,1544924.05,3094972.67,6,0,2,6,-1550048.62,0.499172114
2016,Police,Belleville Police Pension Fund,37030682.59,69663910.73,72,10,47,82,-32633228.14,0.531561926
2016,Police,Bellwood Police Pension Fund,30880565.3,50121882.86,36,3,27,39,-19241317.56,0.616109442
2016,Police,Belvidere Police Pension Fund,19804928.27,29785529.12,35,6,20,41,-9980600.85,0.664917793
2016,Police,Bensenville Police Pension Fund,18350879.38,32501894.68,32,3,16,35,-14151015.3,0.564609527
2016,Police,Benton Police Pension Fund,2765879.89,5511403.89,9,1,7,10,-2745524,0.501846706
2016,Police,Berkeley Police Pension Fund,8197318.12,14062785.56,16,0,12,16,-5865467.44,0.582908563
